stemmed_content,sentiment_label
['puwas'],Netral
"['langgan', 'masuk', 'download', 'aplikasi', 'bisapadahal', 'kasih', 'bintang', 'beli', 'langgan', 'jualansampai', 'susah']",Netral
"['stock', 'tulis', 'aneh']",Netral
['baik'],Positif
['oke'],Positif
['mantap'],Positif
['alhamdulillah'],Netral
"['maaf', 'ka', 'kemarin', 'senang', 'belanja', 's', 'shopee', 'pi', 'pas', 'hp', 'rusak', 'tidak', 'login', 'k', 'akun', 'susah', 'benar', 'ka', 'mana', 'tagih', 'tidak', 'mana', 'mau', 'bayar', 'pas', 'buka', 'shopee', 'pay', 'nya', 'suruh', 'login', 'pusing', 'jadi']",Negatif
"['good', 'market']",Positif
"['sakit', 'hati', 'kali', 'anjing', 'aplikasi', 'inisumpah', 'sumpahgua', 'doain', 'aplikasi', 'rejeki', 'nurunakun', 'tiktok', 'hilang', 'login', 'lagianj', 'aplikasi']",Netral
"['akhir', 'lihat', 'hapus', 'cari', 'barang', 'sulit', 'beli', 'barang', 'hadiah', 'barang', 'sifat', 'pribadi', 'ada', 'gambar', 'akhir', 'lihat', 'wajah', 'renung']",Netral
"['sekarang', 'toped', 'ky', 'toko', 'belah', 'suruh', 'klaim', 'voucher', 'jam', 'eh', 'satu', 'detik', 'langsung', 'abis', 'gratongnya', 'sekarang', 'pakai', 'voucher', 'n', 'tidak', 'gabung', 'sama', 'voucher', 'chasback', 'tidak', 'pa', 'lah', 'makasih', 'tahun', 'tahun', 'kasih', 'cuan', 'belanja']",Negatif
"['sangat', 'puas', 'produk']",Positif
"['lepas', 'taut', 'resmi', 'kai', 'admin', 'akun', 'tiktok', 'lupa', 'pasword', 'nomor', 'hangus', 'mohon', 'solusi']",Positif
"['tidak', 'bukak', 'padahal', 'mau', 'ngecek', 'paket', 'sampek', 'mana', 'bikin', 'kecewa', 'baik', 'sistem']",Negatif
"['e', 'commerce', 'favorit']",Netral
"['moga', 'kah', 'jual']",Netral
"['gratis', 'ongkirnya', 'tidak', 'kaya', 'dulu', 'ekspedisi', 'gratis', 'ongkirnya', 'tidak', 'beres']",Negatif
['mantaap'],Netral
"['aplikasi', 'tidak', 'jelas', 'banyak', 'atur']",Negatif
"['rugi', 'jual', 'raup', 'untung', 'sedikit', 'biaya', 'administrasi', 'mahal', 'biaya', 'layan']",Negatif
"['download', 'nih', 'produk', 'tiktok', 'seller', 'baik', 'terima', 'kasih']",Positif
"['lebih', 'selektif', 'pilih', 'jual', 'lebih', 'propesional', 'shopie', 'lebih', 'bagus', 'iya', 'jasa', 'kirim', 'propesional', 'tanggung', 'jawab', 'kalau', 'masslah']",Positif
"['saran', 'dong', 'laman', 'wishlist', 'bikin', 'mirip', 'grup', 'rapih', 'nilai', 'ratus']",Netral
